SP1000,,SALESMAN:,Kiofi Odoru,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,MONDAY,,TUESDAY,,WEDNESDAY,,THURSDAY,,FRIDAY,
,TOTAL UNIVERSE - 419,,,TOTAL VISITED,Visited,N/A,Visited,N/A,Visited,N/A,Visited,N/A,Visited,N/A
Sales man 1,ZONE,,,,,,,,,,,,,
,UPSA,1,,1,,,,,,,,,,
,MADINA,227,,227,,,,,,,,,,
,ABOKOBI,5,#VALUE!,5,,,,,,,,,,
,EAST ADENTA,77,#VALUE!,77,,,,,,,,,,
,NEW ADENTA,2,#VALUE!,2,,,,,,,,,,
,ADENTA,83,#VALUE!,83,,,,,,,,,,
,HOUSING DOWN,9,#VALUE!,9,,,,,,,,,,
,NEW LEGON ,11,#VALUE!,11,,,,,,,,,,
,AYENSU,4,#VALUE!,4,,,,,,,,,,
,TOTAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ID,OUTLET NAME,CONTACT PERSON NAME,POSITION,MOBILE NUMBER,LOCALITY,SUB LOCALITY,LANDMARK,STREET NAME,,,,,,
1,NA,NANA ADWOA,,244652104,EAST ADENTA,RITZ JUNCTION,50METERS FROM THE SHOP AND SAVE SUPERMARKET,NII OKPOTI STREET,,-0.170377832,5.688307694,"0?? 10' 13.360"" W","5?? 41' 17.908"" N",
2,NA,SITER MARY,,265034894,EAST ADENTA,RITZ JUNCTION,NOT FAR FROM THE LATTER DAY SAINT,NA,,-0.167846086,5.687518902,"0?? 10' 4.246"" W","5?? 41' 15.068"" N",
3,EUNICE ENTERPRISE,MADAM  EUNICE,,247949085,EAST ADENTA,RITZ JUNCTION,NOT FAR FROM THE LATTER DAY SAINT,NA,,-0.167988854,5.686566642,"0?? 10' 4.760"" W","5?? 41' 11.640"" N",
4,NA,SISTER HANNAH,,244117944,EAST ADENTA,RITZ JUNCTION,DIRECTLY OPPOSITE THE LATTER DAY SAINT,NA,,-0.167838947,5.690664074,"0?? 10' 4.220"" W","5?? 41' 26.391"" N",
5,REBECCA STORE,REBECCA OPOKU,,260591445,EAST ADENTA,PEAK PANTA HOTEL,NOT FAR FROM THE PEAK PANTA HOTEL,NA,,-0.162427101,5.69200609,"0?? 9' 44.738"" W","5?? 41' 31.222"" N",
6,HOUSE ENTERPRISE,SISTER ABIGAIL,,NA,EAST ADENTA,ASSEMBLIES,ALONG THE AWALAWAY AVENUE,AWALAWA AVENUE,,-0.169772973,5.690606967,"0?? 10' 11.183"" W","5?? 41' 26.185"" N",
7,AWURADE KASA STORE,MADAM MARTHA,,243607483,EAST ADENTA,ASSEMBLIES,ALONG THE AWALAWAY AVENUE,AWALAWA AVENUE,,-0.170077941,5.690891709,"0?? 10' 12.281"" W","5?? 41' 27.210"" N",
8,NA,MICHEALA ANSAH,,244016153,EAST ADENTA,ASSEMBLIES,ALONG THE AWALAWAY AVENUE,AWALAWA AVENUE,,-0.169935173,5.691617444,"0?? 10' 11.767"" W","5?? 41' 29.823"" N",
9,GYE NYAME ENTERPRISE,THERESAH DEDE,,247675916,EAST ADENTA,BEIGE CAPITAL,ALONG THE AWALAWAY AVENUE,AWALAWA AVENUE,,-0.169923276,5.69269772,"0?? 10' 11.724"" W","5?? 41' 33.712"" N",
10,SIKA'S ENTERPRISE,GLADYS KUMA,,242733427,EAST ADENTA,BEIGE CAPITAL,NEAR BEIGE CAPITAL,NA,,-0.17118439,5.693304482,"0?? 10' 16.264"" W","5?? 41' 35.896"" N",
11,NA,GIFTY KPODO,,246567736,EAST ADENTA,S.D.A ROAD,100METERS FROM TOT TO TEEN SCHOOL,ANANG BI LARYEA STREET,,-0.170358717,5.697106861,"0?? 10' 13.291"" W","5?? 41' 49.585"" N",
12,NA,FAUSTINA DARKO,,276879357,EAST ADENTA,S.D.A ROAD,120METERS FROM TOT TO TEEN SCHOOL,ANANG BI LARYEA STREET,,-0.170201673,5.697113999,"0?? 10' 12.726"" W","5?? 41' 49.610"" N",
13,YESU MO STORE,MADAM AKOSUA,,553617035,EAST ADENTA,VILLAGE,BEHIND HOLY ROSARY R.C BASIC SCHOOL,NA,,-0.167650891,5.699119885,"0?? 10' 3.543"" W","5?? 41' 56.832"" N",
14,NA,SISTER ATTAH,,208492350,EAST ADENTA,VILLAGE,NOT FAR FROM THE TOT TO TEEN SCHOOL,ANANG BI LARYEA STREET,,-0.16376761,5.697425709,"0?? 9' 49.563"" W","5?? 41' 50.733"" N",
